campaign_id,campaign_name,audience_size,persuadables_pct,sure_things_pct,lost_causes_pct,do_not_disturb_pct,unknown_pct,persuadables_count,sure_things_count,lost_causes_count,do_not_disturb_count,unknown_count,segment_estimation_method,segment_confidence,segment_rationale
CMP_0017,Vaulted Q4 2026 - Win-Back,243641,35,20,18,13,14,85275,48729,43855,31673,34109,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0018,Apex Tutoring - Loyalty Boost,413649,24,21,21,8,26,99276,86867,86866,33091,107549,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0019,OrbitHR APAC - Trial Conversion Push,48633,46,22,19,8,5,22372,10700,9240,3890,2431,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0020,Coastline Apparel Q1 2026 - App Adoption,868692,25,20,20,13,22,217174,173738,173738,112929,191113,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0021,GlideFi 2026 - Trial Conversion Push,343382,35,20,18,13,14,120184,68677,61809,44639,48073,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0022,Voyage&Co - Seasonal Promo,283063,33,28,21,11,7,93411,79258,59444,31136,19814,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Discount-heavy retail and subscription campaigns increase sure-things and cannibalization risk. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0023,NorthExpo v7 - Awareness,228479,31,21,21,8,19,70829,47981,47980,18278,43411,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0024,Vaulted Q1 2026 - Lead Gen,332319,28,21,20,13,18,93050,69787,66464,43201,59817,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0025,Drift Footwear Cyber Monday - Seasonal Promo,1506817,19,27,20,10,24,286295,406841,301363,150681,361637,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Discount-heavy retail and subscription campaigns increase sure-things and cannibalization risk. Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0026,Anchor National Summer - Cross-sell Drive,742882,20,21,20,13,26,148576,156006,148576,96574,193150,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Low,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Vague audiences expand the unknown segment. Specific channels improve match quality and reduce unknown exposure. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0027,Wayfare v7 - Event Reg Push,245006,31,21,21,8,19,75952,51452,51451,19600,46551,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0028,GlowCrate - Launch,491370,24,21,21,8,26,117929,103188,103187,39309,127757,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0029,ShopHaven v5 - Event Reg Push,344327,34,22,21,8,15,117072,75752,72308,27546,51649,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0030,FlowOps UK - Lead Gen,33139,36,22,22,8,12,11931,7291,7290,2651,3976,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0031,FitFuel UK - Retention Sprint,97842,41,21,19,8,11,40116,20547,18590,7827,10762,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0032,GlideFi 2027 - App Adoption,376816,25,20,20,13,22,94205,75363,75363,48986,82899,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0033,Beacon AI Spring - Retention Sprint,33725,43,21,19,8,9,14502,7083,6407,2698,3035,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0034,Drift Footwear LATAM - Awareness,1404020,24,21,21,8,26,336965,294844,294844,112321,365046,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0035,Northbeam Consulting v7 - Trial Conversion Push,39781,46,22,19,8,5,18300,8752,7558,3182,1989,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0036,CareNova Winter - Event Reg Push,662114,23,21,21,13,22,152287,139044,139043,86074,145666,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Low,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Vague audiences expand the unknown segment. Specific channels improve match quality and reduce unknown exposure.
CMP_0037,VivaHealth MENA - Launch,430953,32,21,21,14,12,137905,90501,90500,60333,51714,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0038,Apex Legal Fall - Renewal Drive,67710,29,22,22,8,19,19636,14897,14897,5416,12864,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Vague audiences expand the unknown segment. Specific channels improve match quality and reduce unknown exposure.
CMP_0039,BlueCrest Bank Back-to-School - Upsell Wave,142530,32,21,21,14,12,45610,29932,29931,19954,17103,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0040,Wellpath - Cross-sell Drive,336512,28,21,20,13,18,94224,70668,67302,43746,60572,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0041,EmberKitchen - Lead Gen,383443,34,22,21,8,15,130371,84358,80523,30675,57516,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0042,Pixie Pantry Q2 2027 - Loyalty Boost,1179766,19,27,20,10,24,224155,318537,235954,117976,283144,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Discount-heavy retail and subscription campaigns increase sure-things and cannibalization risk. Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0043,Helix Advisory - Lead Gen,38449,38,22,22,9,9,14611,8459,8459,3460,3460,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0044,Pinecrest Trust Back-to-School - Loyalty Boost,161736,32,21,21,14,12,51756,33965,33964,22643,19408,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0045,Apex Legal - Seasonal Promo,67177,24,21,21,8,26,16122,14107,14107,5374,17467,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0046,Beacon Life Black Friday - Cross-sell Drive,387069,32,21,21,14,12,123863,81285,81284,54189,46448,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0047,Drift Footwear Q4 2027 - Loyalty Boost,969012,28,27,20,11,14,271324,261634,193802,106591,135661,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Discount-heavy retail and subscription campaigns increase sure-things and cannibalization risk. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0048,InsureCon 2027 - Event Reg Push,176710,34,22,21,8,15,60082,38877,37109,14136,26506,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0049,Stratus ERP Summer - App Adoption,50065,34,22,21,8,15,17023,11015,10513,4005,7509,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0050,Quanta Strategy Q3 2026 - Launch,25391,38,22,22,9,9,9649,5586,5586,2285,2285,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0051,SyncSuite Spring - Awareness,35782,38,22,22,9,9,13598,7872,7872,3220,3220,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0052,DataPilot Back-to-School - Cross-sell Drive,28518,34,22,21,8,15,9697,6274,5989,2281,4277,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0053,CareNova APAC - Event Reg Push,382566,32,21,21,14,12,122422,80339,80339,53559,45907,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0054,Maple & Oak APAC - Launch,1067912,31,21,21,8,19,331053,224262,224262,85432,202903,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0055,Voyage&Co Q3 2026 - Launch,327741,34,22,21,8,15,111432,72104,68825,26219,49161,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0056,Quanta Reports Q1 2026 - Trial Conversion Push,55647,39,21,18,7,15,21703,11686,10016,3895,8347,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0057,NorthBridge Bank Black Friday - Launch,167110,28,21,20,13,18,46791,35094,33422,21724,30079,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0058,BlueCrest Bank v9 - Event Reg Push,349978,32,21,21,14,12,111993,73496,73496,48996,41997,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0059,AssureFirst - Awareness,425502,32,21,21,14,12,136161,89356,89355,59570,51060,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0060,Quanta Reports 2026 - Loyalty Boost,42936,34,22,21,8,15,14599,9446,9017,3434,6440,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0061,Cartly 2027 - Awareness,396140,25,20,20,13,22,99036,79228,79228,51498,87150,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0062,Wellpath - Upsell Wave,353978,30,21,21,13,15,106194,74336,74335,46017,53096,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0063,MediBridge 2027 - Renewal Drive,303248,25,20,20,13,22,75813,60649,60649,39422,66715,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0064,Pinecrest Trust - Awareness,273469,32,21,21,14,12,87511,57429,57428,38285,32816,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0065,NorthExpo LATAM - Event Reg Push,436907,29,22,22,8,19,126704,96120,96119,34952,83012,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Vague audiences expand the unknown segment. Specific channels improve match quality and reduce unknown exposure.
CMP_0066,OrbitHR v3 - Upsell Wave,32149,34,22,21,8,15,10931,7073,6752,2571,4822,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0067,PayLane - Upsell Wave,549206,18,20,20,13,29,98857,109842,109841,71396,159270,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Low,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0068,EmberKitchen 2027 - Win-Back,693441,33,26,17,10,14,228836,180295,117885,69344,97081,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Discount-heavy retail and subscription campaigns increase sure-things and cannibalization risk. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0069,FutureStack Conference Cyber Monday - Lead Gen,310856,29,22,22,8,19,90149,68389,68388,24868,59062,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Vague audiences expand the unknown segment. Specific channels improve match quality and reduce unknown exposure.
CMP_0070,Anchor National Q3 2026 - Win-Back,135189,33,20,17,12,18,44613,27038,22982,16222,24334,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0071,NorthBridge Bank Fall - Renewal Drive,507906,30,21,21,13,15,152372,106661,106661,66027,76185,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0072,Bundlr Q2 2027 - Seasonal Promo,1432708,19,27,20,10,24,272214,386832,286542,143270,343850,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Discount-heavy retail and subscription campaigns increase sure-things and cannibalization risk. Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0073,DataPilot EMEA - Loyalty Boost,29595,36,22,22,8,12,10655,6511,6511,2367,3551,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0074,MintRail v5 - Launch,434586,28,21,20,13,18,121685,91263,86917,56496,78225,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence.
CMP_0075,Nimbus Mobile v7 - Renewal Drive,506093,31,21,21,8,19,156889,106280,106280,40487,96157,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Generic channels reduce segmentation confidence. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0076,RetailNext World Q3 2026 - Event Reg Push,259960,36,22,22,8,12,93586,57192,57191,20796,31195,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure. Missing or vague budget reduces confidence in reachable persuadables.
CMP_0077,Helix Advisory - Win-Back,61918,32,21,18,7,22,19814,13003,11145,4334,13622,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
CMP_0078,NorthBridge Bank 2027 - Lead Gen,358671,32,21,21,14,12,114775,75321,75321,50214,43040,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",High,Regulated or privacy-sensitive campaigns raise do-not-disturb and unknown shares. Specific audience criteria increase persuadables because targeting is tighter. Specific channels improve match quality and reduce unknown exposure.
CMP_0079,Quanta Reports Back-to-School - Win-Back,87928,32,21,18,7,22,28137,18465,15827,6154,19345,"Rule-based deterministic segmentation from industry, campaign type, audience specificity, channel specificity, and compliance sensitivity.",Medium,Lifecycle conversion campaigns lift persuadables because message timing is closer to purchase intent. Vague audiences expand the unknown segment. Generic channels reduce segmentation confidence.
