historical_campaign_id,campaign_name,industry,campaign_type,audience_type,channels,budget,audience_size,treated_count,control_count,treated_conversion_rate,control_conversion_rate,incremental_lift_points,relative_uplift_percent,revenue_per_conversion,campaign_revenue,negative_response_rate,unsubscribe_rate,complaint_rate,notes
HIST_0013,OrbitHR APAC - Trial Conversion Push,B2B SaaS,Trial-to-Paid Conversion,Broad,"Email, Content Syndication, Webinar, Paid Social (LinkedIn), Paid Search",21000,48633,39638,8995,18.06,3.52,14.54,413.1,1200,8750070.0,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0014,Coastline Apparel Q1 2026 - App Adoption,B2C Retail,App Adoption,Broad,social,198000,868692,700182,168510,12998.1,16.39,12981.71,79205.1,110,4645247979.9,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0015,Voyage&Co - Seasonal Promo,Travel,Seasonal Promotion,Specific,"Connected TV, Paid Social (Meta), Paid Search, Display, Email",225000,283063,227484,55579,4.97,1.67,3.3,197.6,880,1118250.0,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0016,NorthExpo v7 - Awareness,Events,Awareness,Broad,social and email,156500,228479,179796,48683,19.03,3.36,15.67,466.4,520,1549187.85,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0017,Drift Footwear Cyber Monday - Seasonal Promo,B2C Retail,Seasonal Promotion,Broad,"SMS, Influencer",90000,1506817,1185181,321636,4.48,1.35,3.13,231.9,110,403200.0,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0018,Anchor National Summer - Cross-sell Drive,Banking,Cross-sell,Broad,"Display, Direct Mail, Paid Search, Email",512000,742882,608513,134369,6.69,1.65,5.04,305.5,650,25576833.36,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0019,GlowCrate - Launch,Consumer Subscription,Product Launch,Broad,digital,240000,491370,377820,113550,7589.53,3448.67,4140.86,120.1,140,1062534.2,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0020,ShopHaven v5 - Event Reg Push,E-commerce,Event Registration,Specific,"Display, Affiliate, SMS, Paid Social (Meta), Paid Search",140000,344327,271048,73279,1523.55,13.87,1509.68,10884.5,95,373975001.3,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0021,FitFuel UK - Retention Sprint,Consumer Subscription,Retention,Specific,"Influencer, Email, In-app, Paid Social (Meta), Push Notifications",255000,97842,79511,18331,1.33,1.19,0.14,11.8,140,140534.45,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0022,Drift Footwear LATAM - Awareness,B2C Retail,Awareness,Broad,"Email, Display, OOH",135000,1404020,1110944,293076,40.24,34.08,6.16,18.1,110,4996660.19,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0023,Northbeam Consulting v7 - Trial Conversion Push,Professional Services,Trial-to-Paid Conversion,Broad,"PR, Content Syndication, Paid Social (LinkedIn), Webinar",56000,39781,31575,8206,11.85,2.73,9.12,334.1,1800,6317092.8,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0024,VivaHealth MENA - Launch,Healthcare,Product Launch,Specific,"Paid Search, Email, PR, Direct Mail",670000,430953,339215,91738,11791.69,4839.24,6952.45,143.7,540,6367512.6,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0025,Apex Legal Fall - Renewal Drive,Professional Services,Renewal,Broad,"Webinar, Paid Social (LinkedIn)",145000,67710,53787,13923,74.4,72.07,2.33,3.2,1800,133920.0,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0026,Wellpath - Cross-sell Drive,Healthcare,Cross-sell,Specific,digital,530000,336512,260227,76285,8.42,6.05,2.37,39.2,540,1144475.03,1.4,0.9,0.27,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0027,EmberKitchen - Lead Gen,B2C Retail,Lead Generation,Specific,"Paid Social (Meta), Connected TV, OOH, Email, Influencer",130000,383443,295858,87585,7.06,1.25,5.81,464.8,110,2184521.44,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0028,Helix Advisory - Lead Gen,Professional Services,Lead Generation,Broad,"Paid Social (LinkedIn), PR, Email",110000,38449,30405,8044,11.11,1.57,9.54,607.6,1800,5636036.34,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0029,Pinecrest Trust Back-to-School - Loyalty Boost,Banking,Loyalty,Specific,"Display, Direct Mail, Email, Paid Search",190000,161736,129488,32248,32.29,28.7,3.59,12.5,650,26876613.79,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0030,Beacon Life Black Friday - Cross-sell Drive,Insurance,Cross-sell,Specific,"Paid Search, Radio, Email, Display, Direct Mail",240000,387069,304487,82582,6.94,1.01,5.93,587.1,780,16955008.51,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0031,Drift Footwear Q4 2027 - Loyalty Boost,B2C Retail,Loyalty,Broad,performance marketing,48000,969012,769500,199512,21.33,18.17,3.16,17.4,110,10890492.23,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0032,Stratus ERP Summer - App Adoption,B2B SaaS,App Adoption,Broad,"Paid Search, Account-Based Marketing",220000,50065,39552,10513,89089.94,15.07,89074.87,591074.1,1200,33371309725.2,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0033,Quanta Strategy Q3 2026 - Launch,Professional Services,Product Launch,Specific,"Content Syndication, PR, Email, Paid Social (LinkedIn)",9000,25391,20264,5127,13.4,1.4,12.0,857.1,1800,4559403.6,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0034,DataPilot Back-to-School - Cross-sell Drive,B2B SaaS,Cross-sell,Specific,social,245000,28518,22533,5985,17.81,3.5,14.31,408.9,1200,2279323.8,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0035,CareNova APAC - Event Reg Push,Healthcare,Event Registration,Specific,"Email, Direct Mail",590000,382566,294672,87894,998.98,9.76,989.22,10135.5,540,1481769851.54,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0036,Voyage&Co Q3 2026 - Launch,Travel,Product Launch,Specific,"Connected TV, Influencer",120000,327741,265174,62567,3360.93,3077.59,283.34,9.2,880,2957618.4,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0037,Quanta Reports Q1 2026 - Trial Conversion Push,B2B SaaS,Trial-to-Paid Conversion,Broad,social and email,106500,55647,45238,10409,10.47,3.25,7.22,222.2,1200,3992085.36,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0038,BlueCrest Bank v9 - Event Reg Push,Banking,Event Registration,Specific,"Direct Mail, Email",550000,349978,270962,79016,12.22,9.6,2.62,27.3,650,19959488.12,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0039,AssureFirst - Awareness,Insurance,Awareness,Specific,"Direct Mail, Radio, Display, Paid Search",590000,425502,328056,97446,55.09,44.55,10.54,23.7,780,16334829.33,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0040,Cartly 2027 - Awareness,E-commerce,Awareness,Specific,performance marketing,155000,396140,314691,81449,42.51,39.95,2.56,6.4,95,4038.45,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0041,Wellpath - Upsell Wave,Healthcare,Upsell,Specific,"Display, Direct Mail, PR, Paid Search, Email",587000,353978,273131,80847,6.51,4.72,1.79,37.9,540,10278502.29,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0042,Pinecrest Trust - Awareness,Banking,Awareness,Specific,"Email, Direct Mail, Display",540000,273469,209525,63944,25.69,21.26,4.43,20.8,650,4016697.27,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0043,NorthExpo LATAM - Event Reg Push,Events,Event Registration,Broad,"Webinar, Email, Paid Social (LinkedIn)",53000,436907,357596,79311,3558.88,18.83,3540.05,18800.1,520,6209636319.74,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0044,PayLane - Upsell Wave,Fintech,Upsell,Broad,"Influencer, Push Notifications, In-app, Paid Search",420000,549206,431043,118163,8.07,6.16,1.91,31.0,420,13467780.9,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0045,EmberKitchen 2027 - Win-Back,B2C Retail,Customer Reactivation,Specific,"Connected TV, Display, Influencer, Email, SMS",113500,693441,561580,131861,2.98,1.01,1.97,195.0,110,1667544.82,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0046,Anchor National Q3 2026 - Win-Back,Banking,Customer Reactivation,Specific,performance marketing,428000,135189,105936,29253,7.15,6.48,0.67,10.3,650,3060200.0,1.4,0.9,0.27,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0047,NorthBridge Bank Fall - Renewal Drive,Banking,Renewal,Broad,"Paid Search, Programmatic",156500,507906,401359,106547,77.89,74.27,3.62,4.9,650,171129899.14,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0048,DataPilot EMEA - Loyalty Boost,B2B SaaS,Loyalty,Specific,"Content Syndication, Email, Paid Social (LinkedIn), Account-Based Marketing, Paid Search",45000,29595,23928,5667,28.71,22.95,5.76,25.1,1200,8079338.52,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0049,MintRail v5 - Launch,Fintech,Product Launch,Broad,"Push Notifications, Email",235000,434586,345352,89234,7107.72,5861.41,1246.31,21.3,420,1617786443.35,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0050,RetailNext World Q3 2026 - Event Reg Push,Events,Event Registration,Broad,"Email, PR",14000,259960,199708,60252,5784.51,11.16,5773.35,51732.5,520,5203835434.36,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0051,Helix Advisory - Win-Back,Professional Services,Customer Reactivation,Broad,social and email,98000,61918,48436,13482,16.09,12.66,3.43,27.1,1800,2047903.02,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0052,Quanta Reports Back-to-School - Win-Back,B2B SaaS,Customer Reactivation,Broad,"Webinar, Account-Based Marketing, Paid Social (LinkedIn), Content Syndication",88000,87928,71188,16740,18.23,2.26,15.97,706.6,1200,13916417.4,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0053,Quanta Strategy - Awareness,Professional Services,Awareness,Broad,"PR, Webinar",71500,49269,38525,10744,27.6,20.49,7.11,34.7,1800,1954689.41,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0054,Coastline Apparel v4 - Seasonal Promo,B2C Retail,Seasonal Promotion,Broad,social and email,385000,1710684,1344150,366534,2.07,1.9,0.17,8.9,110,796950.0,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0055,Bundlr v7 - Seasonal Promo,E-commerce,Seasonal Promotion,Broad,"Display, Push Notifications, Email",355000,865992,674933,191059,3.9,2.36,1.54,65.3,95,1384500.0,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0056,Pulse Primary v7 - Seasonal Promo,Healthcare,Seasonal Promotion,Specific,"Direct Mail, Email, PR, Display, Paid Search",400000,358952,275414,83538,2.67,1.6,1.07,66.9,540,4274850.49,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0057,Apex Legal LATAM - Cross-sell Drive,Professional Services,Cross-sell,Broad,online,18000,56390,43783,12607,9.8,1.53,8.27,540.5,1800,3720099.6,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0058,Northstar Mutual v7 - Loyalty Boost,Insurance,Loyalty,Specific,"Radio, Display, Email",390000,422124,339695,82429,32.98,29.84,3.14,10.5,780,72754519.81,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0059,Forge Accounting UK - Trial Conversion Push,Professional Services,Trial-to-Paid Conversion,Broad,email and ads,10000,69487,56032,13455,11.73,10.4,1.33,12.8,1800,117300.0,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0060,VivaHealth v7 - Win-Back,Healthcare,Customer Reactivation,Broad,"Direct Mail, Email, Display, Paid Search",740000,755745,597355,158390,5.81,1.71,4.1,239.8,540,18772978.01,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0061,Quanta Strategy 2027 - Lead Gen,Professional Services,Lead Generation,Broad,"Content Syndication, PR, Webinar, Email, Paid Social (LinkedIn)",100000,40437,31398,9039,5.32,3.99,1.33,33.3,1800,3133362.96,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0062,Wayfare Winter - Seasonal Promo,Travel,Seasonal Promotion,Broad,"Display, Influencer, Paid Search, Paid Social (Meta), Email",21000,549498,421517,127981,4.41,1.62,2.79,172.2,880,92610.0,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0063,AssureFirst ANZ - Lead Gen,Insurance,Lead Generation,Specific,social and email,230000,383092,298306,84786,9.26,8.64,0.62,7.2,780,2129800.0,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0064,Quanta Strategy Holiday - Renewal Drive,Professional Services,Renewal,Specific,"Content Syndication, Email, Paid Social (LinkedIn)",99000,26090,21390,4700,82.18,72.91,9.27,12.7,1800,27207661.32,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0065,Nimbus Mobile v4 - Event Reg Push,Telecom,Event Registration,Broad,"Paid Search, Email, OOH, Display",305000,1234273,939133,295140,9.92,1.27,8.65,681.1,470,42843539.58,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0066,Northstar Mutual v5 - Cross-sell Drive,Insurance,Cross-sell,Specific,"Paid Search, Radio",435500,281451,222580,58871,6.14,1.7,4.44,261.2,780,8404279.73,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0067,BoxBloom Q3 2027 - Launch,E-commerce,Product Launch,Broad,"Push Notifications, Email, Affiliate, Display",43000,956304,753355,202949,4.8,1.16,3.64,313.8,95,3040525.92,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0068,Quanta Strategy v6 - Win-Back,Professional Services,Customer Reactivation,Broad,digital,81000,41847,32219,9628,8.76,1.38,7.38,534.8,1800,2467692.0,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0069,AssureFirst Open Enrollment - Lead Gen,Insurance,Lead Generation,Broad,"Display, Email, Direct Mail, Radio",450000,747551,610577,136974,7.22,1.65,5.57,337.6,780,31342726.12,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0070,RetailNext World - Trial Conversion Push,Events,Trial-to-Paid Conversion,Specific,"PR, Organic Social, Paid Social (LinkedIn), Email, Webinar",80000,161571,127739,33832,7.63,2.44,5.19,212.7,520,5295039.93,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0071,Wayfare v9 - Event Reg Push,Travel,Event Registration,Specific,digital,395000,232452,181980,50472,9.4,8.23,1.17,14.2,880,7191428.64,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0072,Orbit Connect - Awareness,Telecom,Awareness,Specific,"Paid Search, Email, OOH, Direct Mail",490000,506213,401356,104857,27.07,23.25,3.82,16.4,470,5956805.8,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0073,Velocity Wireless Winter - Renewal Drive,Telecom,Renewal,Specific,"OOH, Email, SMS, Display, Direct Mail",520000,325023,256180,68843,80.24,75.22,5.02,6.7,470,94554286.42,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0074,AssureFirst Open Enrollment - Lead Gen #2,Insurance,Lead Generation,Specific,"Display, Direct Mail, Radio, Paid Search, Email",230000,375748,288195,87553,9.38,8.84,0.54,6.1,780,2157400.0,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0075,PageNest Q3 2026 - Retention Sprint,Consumer Subscription,Retention,Specific,"Push Notifications, In-app",39000,167322,127687,39635,78.98,72.65,6.33,8.7,140,2307084.78,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0076,ScholarPath - Awareness,Education,Awareness,Specific,"YouTube, Paid Search, Webinar",173500,207228,169670,37558,45.48,41.98,3.5,8.3,360,2870381.06,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0077,Lumen Home 2026 - Launch,B2C Retail,Product Launch,Broad,"Display, SMS",233500,1468138,1123687,344451,4.41,1.45,2.96,204.1,110,4066622.41,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0078,Quanta Strategy - Seasonal Promo,Professional Services,Seasonal Promotion,Specific,performance marketing,29000,28716,22604,6112,3.28,2.26,1.02,45.1,1800,812036.16,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0079,Quanta Strategy 2027 - Renewal Drive,Professional Services,Renewal,Broad,"Email, Paid Social (LinkedIn), PR",105000,41112,31718,9394,77.03,67.63,9.4,13.9,1800,41783382.9,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0080,Voyage&Co - Upsell Wave,Travel,Upsell,Broad,"Influencer, Paid Social (Meta), Email, Paid Search",51500,579829,469429,110400,3.92,2.79,1.13,40.5,880,14891302.27,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0081,Lumen Home Q4 2026 - Loyalty Boost,B2C Retail,Loyalty,Broad,paid media,185000,1098253,899474,198779,26.18,24.68,1.5,6.1,110,2365732.66,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0082,Sterling Federal Nordics - Awareness,Banking,Awareness,Specific,"Paid Search, Direct Mail, Programmatic, Email",71000,158483,126618,31865,25.48,21.11,4.37,20.7,650,2493799.96,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0083,Stackr Back-to-School - Launch,Fintech,Product Launch,Broad,"Paid Social (Meta), Email, In-app",350000,374597,304280,70317,3610.25,2967.87,642.38,21.6,420,1516305.0,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0084,Bundlr 2027 - Event Reg Push,E-commerce,Event Registration,Specific,performance marketing,225000,562055,457195,104860,4468.34,18.28,4450.06,24343.9,95,1142835149.75,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0085,Helix Advisory 2027 - Event Reg Push,Professional Services,Event Registration,Broad,"Email, Webinar, PR, Paid Social (LinkedIn)",145000,38712,30356,8356,1282.75,8.17,1274.58,15600.7,1800,707693175.0,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0086,Hearth&Home Box - Seasonal Promo,Consumer Subscription,Seasonal Promotion,Specific,"Push Notifications, Influencer",245000,124528,101296,23232,4.26,3.98,0.28,7.0,140,1043700.0,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0087,Drift Footwear Back-to-School - Seasonal Promo,B2C Retail,Seasonal Promotion,Specific,performance marketing,320000,796581,644083,152498,2.13,1.55,0.58,37.4,110,893999.77,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0088,Glide Cruises Spring - Win-Back,Travel,Customer Reactivation,Specific,"Influencer, Email, Connected TV, Paid Search",30000,344836,281458,63378,6.97,2.81,4.16,148.0,880,15302595.97,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0089,ClearWave 2026 - Loyalty Boost,Telecom,Loyalty,Specific,"OOH, SMS",270000,355144,277059,78085,26.79,22.93,3.86,16.8,470,23655401.22,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0090,Wellpath Q4 2026 - Upsell Wave,Healthcare,Upsell,Broad,email and ads,535000,839992,686730,153262,7.73,6.97,0.76,10.9,540,4372349.27,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0091,LearnRise Academy - Lead Gen,Education,Lead Generation,Broad,"Paid Search, Webinar, Paid Social (Meta), YouTube",172500,377636,290235,87401,14.93,3.85,11.08,287.8,360,15111250.2,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0092,FutureStack Conference Fall - Lead Gen,Events,Lead Generation,Broad,online,114500,362027,286090,75937,14.26,7.56,6.7,88.6,520,10040032.5,0.8,0.6,0.15,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0093,MarketRise Q2 2026 - App Adoption,E-commerce,App Adoption,Broad,social and email,143500,1236127,1006715,229412,37439.79,19.83,37419.96,188703.8,95,25104749491.31,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0094,Velocity Wireless Tax Season - Launch,Telecom,Product Launch,Broad,"Paid Search, SMS, Direct Mail",505000,1178408,944442,233966,3251.38,1.25,3250.13,260010.4,470,1528148.6,0.8,0.4,0.1,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
HIST_0095,Truecover Global - App Adoption,Insurance,App Adoption,Specific,"Radio, Direct Mail, Email, Display, Paid Search",455000,383745,293238,90507,28.32,24.52,3.8,15.5,780,13718790.26,1.4,0.7,0.22,"Deterministic benchmark synthesized from the raw brief's industry, campaign type, and KPI structure."
