"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"InsureCon Q2 2026 - Event Reg Push","Hit 8% RSVP-to-attend conversion","Speakers, sponsors, and partner network contacts, Benelux","Register now - early bird pricing ends soon.","social","Pending finance approval","Sep 5, 2026 - 3 week flight","Hit 4,844 sign-ups","Do not reference unannounced roadmap items."
"Truecover Cyber Monday - Loyalty Boost","Lift repeat purchase rate from 11% to 16%","Small business owners without cyber liability, US","Members earn more. Join today.","Paid Search, Email, Display, Direct Mail","$390,000 (media only)","Mar 6, 2027 - 10 week flight","Program enrollment: target +6.9% vs. baseline, over the campaign flight.","All quotes must include 'subject to underwriting' language. Coordinate with concurrent acquisition offers to avoid loyalty member dilution. Tone: confident, helpful, never alarmist. Mobile-first creative required; desktop is secondary."
"Cartly EU - Lead Gen","Generate 7,479 MQLs at CPL under $20","Cart abandoners in last 30 days, Australia","Get the playbook trusted by 500+ teams.","email and ads","$12,000","Mar 25, 2026 - 10 week flight","MQLs: target 874, CPL <= $143, measured within 90 days post-launch.","Exclude high-AOV segments from blanket discounts."
"SafeHarbor Insurance Q1 2026 - Cross-sell Drive","Attach a second product to 13% of single-product customers","Homeowners aged 35-65 without umbrella coverage, Germany","One account, more value.","Paid Search, Direct Mail, Email, Radio, Display","$565,000","Jun 13, 2026 - 10 week flight","Attach rate: baseline 0.8%, target 4.8%, by end of quarter.","No guaranteed-acceptance language without policy substantiation. All copy must use inclusive language per brand DEI guidelines."
"Vaulted Q4 2026 - Win-Back","Build awareness and momentum","Active app users with 30+ day inactivity, US","Your spot is still here. Welcome back.","Paid Search, Paid Social (Meta), Influencer","$225,000 excl. production","Jul 2, 2027 - 4 week flight","Reactivation rate: baseline 1.3%, target 10.8%, within 90 days post-launch.","Required disclosures on rates, fees, and partner bank relationship. CEO and executive quotes require Comms approval."
"Apex Tutoring - Loyalty Boost","Lift repeat purchase rate from 18% to 23%","millennials","Members earn more. Join today.","digital","$160,000 total","May 9, 2026 - 10 week flight","Program enrollment: target +16.4% vs. baseline, over the campaign flight.","Title IV compliance review required for any financial-aid messaging. Do not reference unannounced roadmap items."
"OrbitHR APAC - Trial Conversion Push","Increase trial-to-paid conversion from 82% to 87%","VP/Director of Engineering at companies with 200-2000 employees in France","Don't lose what you've built - upgrade today and keep your momentum.","Email, Content Syndication, Webinar, Paid Social (LinkedIn), Paid Search","$21,000 incl. agency fees","rolling","Trial-to-paid conversion: baseline 3.9%, target 25.5%, over 30 days.","Adhere to brand voice guidelines v3.2; primary palette only."
"Coastline Apparel Q1 2026 - App Adoption","Drive 114,520 new app installs","Households with income $75K+ in US suburbs (EU coverage)","Your account, in your pocket.","social","To be confirmed by CMO","Jan 5, 2027 - 3 week flight","Installs: target 32,684; D7 retention >= 28%; over 30 days.","EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. CEO and executive quotes require Comms approval. Landing page must load under 2.5s on 4G."
"GlideFi 2026 - Trial Conversion Push","Increase trial-to-paid conversion from 7% to 12%","Active app users with 30+ day inactivity, Benelux","Ready when you are: pick the plan that fits.","Influencer, Paid Social (Meta), In-app","$460,000 excl. production","Jan 6, 2026 - 10 week flight","Hit 3,098 sign-ups","All claims must be reviewed by Compliance and Legal before publication. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days."
"Voyage&Co - Seasonal Promo","Lift conversion rate by 18% vs. prior season baseline","Couples aged 45-34 with HHI $100K+, UK","Our biggest Cyber Monday event yet.","Connected TV, Paid Social (Meta), Paid Search, Display, Email","$225,000 excl. production","Mar 2, 2027 - 12 week flight","Incremental revenue: target $1,463,582, ROAS >= 6.9, within 90 days post-launch.","Suppress recently booked travelers to avoid post-purchase regret refunds. All copy must use inclusive language per brand DEI guidelines. Video assets capped at 15s for social, 30s for CTV."
"NorthExpo v7 - Awareness","Move the needle on conversions this quarter","Practitioners and decision-makers in target verticals, France","The brand professionals trust.","social and email","TBD","Aug 11, 2026 - 2 week flight","Baseline 3.7%, improve over time","All copy must use inclusive language per brand DEI guidelines."
"Vaulted Q1 2026 - Lead Gen","Deliver 2,893 SQLs to the sales team","Active app users with 30+ day inactivity, Japan (EU coverage)","Get the playbook trusted by 500+ teams.","Influencer, Paid Social (Meta), In-app, Push Notifications, Paid Search","$63,000 incl. agency fees","Aug 13, 2026 - 10 week flight","MQLs: target 1,326, CPL <= $344, measured by end of quarter.","Required disclosures on rates, fees, and partner bank relationship. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. CEO and executive quotes require Comms approval. Video assets capped at 15s for social, 30s for CTV."
"Drift Footwear Cyber Monday - Seasonal Promo","Drive $3,636,214 in incremental revenue during the promo window","lapsed buyers","Holiday is here - shop the edit.","SMS, Influencer","$90,000 (media only)","Feb 20, 2027 - 3 week flight","Incremental revenue: target $685,128, ROAS >= 7.8, over the campaign flight.","Do not stack with member 20% offer; cap discount at 30% MSRP. Subject lines under 50 characters; no emojis in B2B sends."
"Anchor National Summer - Cross-sell Drive","Support the broader GTM motion","millennials","Bundle and save - smarter together.","Display, Direct Mail, Paid Search, Email","Per-channel budget missing","summer push","Attach rate: baseline 1.8%, target 11.6%, within 90 days post-launch.","All offers must include APR/APY disclosures and FDIC member language. Localization required for non-English markets; transcreation, not direct translation."
"Wayfare v7 - Event Reg Push","Register 21,504 attendees","Loyalty members with 1+ booking in last 24 months, India (EU coverage)","FutureStack Conference: where the industry connects.","digital","TBD","Nov 25, 2026 - 3 week flight","Conversion rate target 5.8%","Avoid stacking with seasonal sale; cap combined discount at agreed max. Adhere to brand voice guidelines v3.2; primary palette only. Mobile-first creative required; desktop is secondary."
"GlowCrate - Launch","Drive 8% adoption of the new release among current customers","prospects in target markets","PageNest is here. Get ahead from day one.","digital","$240,000 excl. production","by end of fiscal year","New sign-ups: target 11,975 within 90 days post-launch; CPA <= $199.","Tone: confident, helpful, never alarmist."
"ShopHaven v5 - Event Reg Push","Hit 10% RSVP-to-attend conversion","VIP tier customers (top 10% LTV), Benelux (EU coverage)","Save your seat at FutureStack Conference.","Display, Affiliate, SMS, Paid Social (Meta), Paid Search","$140,000 total","Jan 16, 2026 - 6 week flight","Registrations: target 2,647; show-up rate >= 44%; over 30 days.","All copy must use inclusive language per brand DEI guidelines."
"FlowOps UK - Lead Gen","Generate 2,479 MQLs at CPL under $126","VP/Director of Engineering at companies with 200-2000 employees in Germany","See why leading teams choose Stratus ERP - book a 20-minute demo.","Account-Based Marketing, Webinar, Paid Social (LinkedIn), Paid Search","TBD","Oct 10, 2026 - 10 week flight","MQLs: target 7,586, CPL <= $172, measured by end of quarter.","Landing page must load under 2.5s on 4G."
"FitFuel UK - Retention Sprint","Reduce monthly churn from 6.0% to 3.1%","Trial users in day 7-14 of free trial, Canada","Stay with us and get more of what you love.","Influencer, Email, In-app, Paid Social (Meta), Push Notifications","$255,000 incl. agency fees","Mar 10, 2027 - 6 week flight","Monthly churn: baseline 1.3%, target 0.8%, within 90 days post-launch.","No competitor logos or comparison claims in paid creative."
"GlideFi 2027 - App Adoption","Lift weekly active users by 9%","First-time investors aged 25-40 in Singapore","Faster, easier, in-app exclusive perks.","performance marketing","Per-channel budget missing","Oct 26, 2026 - 10 week flight","Improve CTR vs. last campaign","No misleading earnings or returns language."
"Beacon AI Spring - Retention Sprint","Reduce monthly churn from 7.4% to 1.6%","IT decision-makers at mid-market firms (EMEA), Fintech verticals (EU coverage)","Stay with us and get more of what you love.","Webinar, Paid Social (LinkedIn), Account-Based Marketing, Paid Search","Use available Q-end funds","Jul 25, 2026 - 4 week flight","Reduce CPA","DACH market: double opt-in for email; no purchased lists. Use approved product photography only; lifestyle imagery requires brand review. Subject lines under 50 characters; no emojis in B2B sends."
"Drift Footwear LATAM - Awareness","Reach 4,733,909 unique impressions in target segment","Households with income $75K+ in Brazil suburbs","Drift Footwear: built for what's next.","Email, Display, OOH","$135,000 (media only)","Sep 12, 2026 - 4 week flight","Aided awareness lift: baseline 38%, target +10 pts, over 60 days.","Adhere to brand voice guidelines v3.2; primary palette only."
"Northbeam Consulting v7 - Trial Conversion Push","Increase trial-to-paid conversion from 2% to 5%","General Counsel and CFOs at mid-market firms, APAC (EU coverage)","Ready when you are: pick the plan that fits.","PR, Content Syndication, Paid Social (LinkedIn), Webinar","$56,000 total","Sep 11, 2027 - 12 week flight","Trial-to-paid conversion: baseline 2.9%, target 16.4%, over 60 days.","Tone: confident, helpful, never alarmist."
"CareNova Winter - Event Reg Push","Register 22,026 attendees","enterprise customers","NorthExpo: where the industry connects.","Direct Mail, PR, Display, Paid Search","$645,000","post-launch window","ROAS target 7.1","All medical claims must be reviewed by Medical Legal Review (MLR) before launch."
"VivaHealth MENA - Launch","Support the broader GTM motion","Caregivers aged 40-65 of aging parents, France","Meet Pulse Primary: everything you loved, reimagined.","Paid Search, Email, PR, Direct Mail","$670,000 (media only)","Jun 9, 2026 - 8 week flight","New sign-ups: target 16,975 over the campaign flight; CPA <= $183.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch."
"Apex Legal Fall - Renewal Drive","Renew 18,585 expiring contracts this cycle","young professionals","Stay covered. Stay supported.","Webinar, Paid Social (LinkedIn)","$145,000 (media only)","before holiday season","Hit 9,432 sign-ups","Tone: confident, helpful, never alarmist."
"BlueCrest Bank Back-to-School - Upsell Wave","Lift ARPU by 58% across the existing book of business","Small business banking customers with <$5M annual revenue, Japan","Ready for the next tier? Here's what's waiting.","Paid Search, Programmatic, Direct Mail, Email, Display","$49,000","Q3 launch","ARPU lift: baseline $101, target +10.0%, over 30 days.","Reg Z and UDAAP review required prior to launch. Subject lines under 50 characters; no emojis in B2B sends."
"Wellpath - Cross-sell Drive","Build awareness and momentum","Caregivers aged 40-65 of aging parents, EMEA","One account, more value.","digital","$530,000","May 6, 2026 - 3 week flight","Improve CTR vs. last campaign","HIPAA compliance required; no PHI in creative or targeting data. Hero creative must feature flagship product, not bundled SKUs."
"EmberKitchen - Lead Gen","Generate 4,744 MQLs at CPL under $196","Repeat customers with 3+ purchases in last 12 months, Mexico","Find out what AuroraWear can do for your business.","Paid Social (Meta), Connected TV, OOH, Email, Influencer","$130,000","Nov 28, 2026 - 10 week flight","SQL conversion: baseline 1.4%, target 11.2%, within 90 days post-launch.","Mobile-first creative required; desktop is secondary."
"Pixie Pantry Q2 2027 - Loyalty Boost","Increase loyalty program enrollment by 8%","First-time site visitors from paid social, Australia","Members earn more. Join today.","SMS, Paid Search, Display, Push Notifications","$480,000 (media only)","Oct 27, 2026 - 4 week flight","Program enrollment: target +9.1% vs. baseline, over 60 days.","CEO and executive quotes require Comms approval."
"Helix Advisory - Lead Gen","Build awareness and momentum","HR leaders at companies with 500-5000 employees, Canada","See why leading teams choose Northbeam Consulting - book a 20-minute demo.","Paid Social (LinkedIn), PR, Email","$110,000","Sep 14, 2027 - 8 week flight","SQL conversion: baseline 1.7%, target 18.0%, by end of quarter.","Do not reference unannounced roadmap items."
"Pinecrest Trust Back-to-School - Loyalty Boost","Increase loyalty program enrollment by 14%","Small business banking customers with <$5M annual revenue, Japan","Members earn more. Join today.","Display, Direct Mail, Email, Paid Search","$190,000 excl. production","Aug 21, 2026 - 6 week flight","Program enrollment: target +4.0% vs. baseline, over the campaign flight.","No targeting on protected class attributes (ECOA/Reg B). DACH market: double opt-in for email; no purchased lists. Members-only pricing must remain materially better than public promo. Do not reference unannounced roadmap items. Video assets capped at 15s for social, 30s for CTV."
"Apex Legal - Seasonal Promo","Drive $3,227,868 in incremental revenue during the promo window","lapsed buyers","Our biggest Tax Season event yet.","Content Syndication, Paid Social (LinkedIn)","$87,000 excl. production","Sep 11, 2026 - 2 week flight","Incremental revenue: target $1,783,905, ROAS >= 6.5, over the campaign flight.","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. No competitor logos or comparison claims in paid creative. Subject lines under 50 characters; no emojis in B2B sends."
"Beacon Life Black Friday - Cross-sell Drive","Cross-sell 42,028 eligible customers","Auto policyholders approaching renewal, aged 45-54, France","One account, more value.","Paid Search, Radio, Email, Display, Direct Mail","$240,000","by end of fiscal year","Attach rate: baseline 1.1%, target 10.0%, over the campaign flight.","No guaranteed-acceptance language without policy substantiation. Use approved product photography only; lifestyle imagery requires brand review. Mobile-first creative required; desktop is secondary."
"Drift Footwear Q4 2027 - Loyalty Boost","Increase engagement and pipeline","Households with income $75K+ in APAC suburbs","Your loyalty, rewarded.","performance marketing","$48,000 (media only)","Jun 19, 2027 - 8 week flight","Lift engagement","Coordinate with concurrent acquisition offers to avoid loyalty member dilution. Video assets capped at 15s for social, 30s for CTV."
"InsureCon 2027 - Event Reg Push","Register 24,126 attendees","Past attendees of last 2 editions, Brazil (EU coverage)","Register now - early bird pricing ends soon.","social","$4,500 (media only)","this year","Registrations: target 4,356; show-up rate >= 55%; over the campaign flight.","All copy must use inclusive language per brand DEI guidelines. Mobile-first creative required; desktop is secondary."
"Stratus ERP Summer - App Adoption","Lift weekly active users by 24%","VP/Director of Engineering at companies with 200-2000 employees in Australia","Get more done on the go - download the app.","Paid Search, Account-Based Marketing","$220,000","by end of fiscal year","Installs: target 174,481; D7 retention >= 25%; over the campaign flight.","Adhere to brand voice guidelines v3.2; primary palette only."
"Quanta Strategy Q3 2026 - Launch","Drive 4% adoption of the new release among current customers","HR leaders at companies with 500-5000 employees, UK (EU coverage)","Introducing the next generation of Apex Legal - faster, smarter, built for your team.","Content Syndication, PR, Email, Paid Social (LinkedIn)","$9,000","May 21, 2027 - 4 week flight","Adoption rate: baseline 1.5%, target 19.7%, measured by end of quarter.","Adhere to brand voice guidelines v3.2; primary palette only."
"SyncSuite Spring - Awareness","Reach 8,848,866 unique impressions in target segment","IT decision-makers at mid-market firms (Nordics), SaaS verticals","The brand professionals trust.","Paid Search, Email","$100,000 excl. production","Apr 24, 2026 - 3 week flight","Aided awareness lift: baseline 41%, target +8 pts, over 30 days.","CEO and executive quotes require Comms approval. Landing page must load under 2.5s on 4G."
"DataPilot Back-to-School - Cross-sell Drive","Attach a second product to 26% of single-product customers","VP/Director of Engineering at companies with 200-2000 employees in Japan (EU coverage)","You already love Helix DevTools. Here's the perfect companion.","social","$245,000 total","rolling","Attach rate: baseline 3.9%, target 27.4%, over 60 days.","Localization required for non-English markets; transcreation, not direct translation."
"CareNova APAC - Event Reg Push","Register 4,827 attendees","Patients overdue for annual wellness visit, India","Save your seat at InsureCon.","Email, Direct Mail","$590,000","Jun 12, 2027 - 4 week flight","Registrations: target 1,720; show-up rate >= 61%; within 90 days post-launch.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch."
"Maple & Oak APAC - Launch","Drive 5% adoption of the new release among current customers","Gen Z shoppers aged 18-26 in Brazil metros","Lumen Home is here. Get ahead from day one.","Influencer, OOH, Connected TV, Email","Pending finance approval","Q3 launch","Adoption rate: baseline 1.0%, target 6.4%, measured by end of quarter.","Tone: confident, helpful, never alarmist. Mobile-first creative required; desktop is secondary."
"Voyage&Co Q3 2026 - Launch","Acquire 129,228 new users within the launch window","Loyalty members with 1+ booking in last 24 months, EMEA","Voyage&Co is here. Get ahead from day one.","Connected TV, Influencer","$120,000","Jan 3, 2027 - 6 week flight","Conversion rate target 4.8%","Suppress recently booked travelers to avoid post-purchase regret refunds."
"Quanta Reports Q1 2026 - Trial Conversion Push","Increase trial-to-paid conversion from 96% to 101%","CFOs at SMBs with $10M-$100M revenue in India","Your trial ends soon. Unlock the full Helix DevTools experience.","social and email","Pending finance approval","Aug 19, 2026 - 10 week flight","Trial-to-paid conversion: baseline 3.5%, target 16.2%, over 30 days.","Localization required for non-English markets; transcreation, not direct translation. Landing page must load under 2.5s on 4G."
"NorthBridge Bank Black Friday - Launch","Generate 1,806 qualified sign-ups in the first 60 days","Small business banking customers with <$5M annual revenue, Singapore","Anchor National is here. Get ahead from day one.","digital","$655,000","Apr 26, 2027 - 4 week flight","Adoption rate: baseline 1.0%, target 12.5%, measured within 90 days post-launch.","All offers must include APR/APY disclosures and FDIC member language. Do not reference unannounced roadmap items."
"BlueCrest Bank v9 - Event Reg Push","Register 21,046 attendees","Existing checking customers without a credit product, Benelux (EU coverage)","Register now - early bird pricing ends soon.","Direct Mail, Email","$550,000 total","Feb 1, 2026 - 3 week flight","Conversion rate target 14.8%","No targeting on protected class attributes (ECOA/Reg B). UK/EU: lawful basis must be documented; suppress contacts without marketing consent. All copy must use inclusive language per brand DEI guidelines. Subject lines under 50 characters; no emojis in B2B sends."
"AssureFirst - Awareness","Reach 8,511,858 unique impressions in target segment","Small business owners without cyber liability, US","The brand professionals trust.","Direct Mail, Radio, Display, Paid Search","$590,000 incl. agency fees","Jun 22, 2027 - 3 week flight","Aided awareness lift: baseline 50%, target +12 pts, over 30 days.","All quotes must include 'subject to underwriting' language. Tone: confident, helpful, never alarmist. Landing page must load under 2.5s on 4G."
"Quanta Reports 2026 - Loyalty Boost","Lift repeat purchase rate from 21% to 26%","IT decision-makers at mid-market firms (India), Healthtech verticals","Members earn more. Join today.","Account-Based Marketing, Paid Social (LinkedIn), Email, Content Syndication","$100,000","Jan 27, 2027 - 3 week flight","Program enrollment: target +14.7% vs. baseline, over 30 days.","Members-only pricing must remain materially better than public promo."
"Cartly 2027 - Awareness","Build awareness and momentum","VIP tier customers (top 10% LTV), Benelux (EU coverage)","The brand professionals trust.","performance marketing","Limited budget","Jul 2, 2026 - 12 week flight","Hit 5,033 sign-ups","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Adhere to brand voice guidelines v3.2; primary palette only."
"Wellpath - Upsell Wave","Upsell 1,223 customers to a higher tier","Patients overdue for annual wellness visit, Australia","You're getting more from MediBridge than ever - here's how to get even more.","Display, Direct Mail, PR, Paid Search, Email","Limited budget","Sep 21, 2026 - 6 week flight","ARPU lift: baseline $175, target +5.4%, over the campaign flight.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. Subject lines under 50 characters; no emojis in B2B sends."
"MediBridge 2027 - Renewal Drive","Increase engagement and pipeline","Patients overdue for annual wellness visit, Benelux (EU coverage)","Renew today and lock in your current rate.","paid media","TBD","Oct 13, 2026 - 3 week flight","Reduce CPA",""
"Pinecrest Trust - Awareness","Lift unaided brand awareness by 6 points","Small business banking customers with <$5M annual revenue, Benelux","NorthBridge Bank: built for what's next.","Email, Direct Mail, Display","$540,000 incl. agency fees","May 19, 2026 - 8 week flight","Aided awareness lift: baseline 23%, target +6 pts, over 60 days.","No targeting on protected class attributes (ECOA/Reg B). No competitor logos or comparison claims in paid creative. Landing page must load under 2.5s on 4G."
"NorthExpo LATAM - Event Reg Push","Hit 95% RSVP-to-attend conversion","our customer base","DevForge Live: where the industry connects.","Webinar, Email, Paid Social (LinkedIn)","$53,000","Feb 28, 2026 - 3 week flight","Registrations: target 6,412; show-up rate >= 73%; within 90 days post-launch.","Use approved product photography only; lifestyle imagery requires brand review."
"OrbitHR v3 - Upsell Wave","Lift ARPU by 11% across the existing book of business","VP/Director of Engineering at companies with 200-2000 employees in Nordics (EU coverage)","You're getting more from Lumen API than ever - here's how to get even more.","digital","$105,000","Jul 2, 2027 - 2 week flight","ARPU lift: baseline $37, target +21.6%, over 60 days.","CEO and executive quotes require Comms approval."
"PayLane - Upsell Wave","Support the broader GTM motion","high-value customers","You're getting more from GlideFi than ever - here's how to get even more.","Influencer, Push Notifications, In-app, Paid Search","$420,000 excl. production","Sep 28, 2026 - 6 week flight","ARPU lift: baseline $113, target +8.3%, over the campaign flight.","Required disclosures on rates, fees, and partner bank relationship."
"EmberKitchen 2027 - Win-Back","Win back 46,410 lapsed customers","Repeat customers with 3+ purchases in last 12 months, Canada","A lot has changed. Come back and see what's new.","Connected TV, Display, Influencer, Email, SMS","Not specified","Jan 15, 2027 - 8 week flight","Reactivation rate: baseline 1.1%, target 4.3%, over 30 days.","Avoid overlap with concurrent storewide promo; suppress full-price loyalists from discount creative. Landing page must load under 2.5s on 4G."
"FutureStack Conference Cyber Monday - Lead Gen","Generate 5,566 MQLs at CPL under $218","Speakers, sponsors, and partner network contacts, Australia","Get the playbook trusted by 500+ teams.","Organic Social, PR, Email, Webinar, Paid Social (LinkedIn)","$145,000","Jan 26, 2026 - 2 week flight","SQL conversion: baseline 4.0%, target 18.7%, over 30 days.","Adhere to brand voice guidelines v3.2; primary palette only."
"Anchor National Q3 2026 - Win-Back","Reactivate 2% of customers dormant for 6+ months","Small business banking customers with <$5M annual revenue, Japan","We've missed you - here's 25% off your next order.","performance marketing","Per-channel budget missing","Jul 20, 2026 - 8 week flight","ROAS target 4.3","All offers must include APR/APY disclosures and FDIC member language. DACH market: double opt-in for email; no purchased lists. Exclude high-AOV segments from blanket discounts."
"NorthBridge Bank Fall - Renewal Drive","Build awareness and momentum","Existing checking customers without a credit product, Canada","Renew today and lock in your current rate.","Paid Search, Programmatic","Per-channel budget missing","Jun 17, 2026 - 10 week flight","Gross renewal rate: baseline 80.9%, target 86.5%, within 90 days post-launch.","No targeting on protected class attributes (ECOA/Reg B). UK/EU: lawful basis must be documented; suppress contacts without marketing consent."
"Bundlr Q2 2027 - Seasonal Promo","Drive more revenue from this audience","First-time site visitors from paid social, Japan","Limited time: save big this Open Enrollment.","Paid Social (Meta), Push Notifications, Affiliate, Display, SMS","$330,000 total","this year","Incremental revenue: target $1,748,939, ROAS >= 3.0, over 60 days.","Exclude high-AOV segments from blanket discounts. Do not reference unannounced roadmap items. Landing page must load under 2.5s on 4G."
"DataPilot EMEA - Loyalty Boost","Grow the business in the target segment","IT decision-makers at mid-market firms (US), SaaS verticals","Members earn more. Join today.","Content Syndication, Email, Paid Social (LinkedIn), Account-Based Marketing, Paid Search","Limited budget","rolling","Program enrollment: target +9.6% vs. baseline, by end of quarter.","Coordinate with concurrent acquisition offers to avoid loyalty member dilution. Adhere to brand voice guidelines v3.2; primary palette only."
"MintRail v5 - Launch","Move the needle on conversions this quarter","First-time investors aged 25-40 in US","MintRail is here. Get ahead from day one.","Push Notifications, Email","$235,000","Mar 9, 2027 - 12 week flight","Improve CTR vs. last campaign","Required disclosures on rates, fees, and partner bank relationship."
"Nimbus Mobile v7 - Renewal Drive","Grow the business in the target segment","Postpaid customers approaching contract end, EMEA (EU coverage)","Don't lose access - renew before Jun 26.","email and ads","Limited budget","soon","Conversion rate target 17.2%","CEO and executive quotes require Comms approval. Subject lines under 50 characters; no emojis in B2B sends."
"RetailNext World Q3 2026 - Event Reg Push","Hit 16% RSVP-to-attend conversion","Past attendees of last 2 editions, Japan","RetailNext World: where the industry connects.","Email, PR","TBD","TBD","Registrations: target 11,297; show-up rate >= 45%; by end of quarter.","No animated GIFs in email; static hero only."
"Helix Advisory - Win-Back","Grow the business in the target segment","young professionals","We've missed you - here's 25% off your next order.","social and email","$98,000","this year","Improve CTR vs. last campaign","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. Use approved product photography only; lifestyle imagery requires brand review. Landing page must load under 2.5s on 4G."
"NorthBridge Bank 2027 - Lead Gen","Generate 1,532 MQLs at CPL under $200","Existing checking customers without a credit product, Benelux","See why leading teams choose BlueCrest Bank - book a 20-minute demo.","Direct Mail, Programmatic, Display, Paid Search","$405,000","Jul 13, 2026 - 2 week flight","ROAS target 2.4","All offers must include APR/APY disclosures and FDIC member language. Mobile-first creative required; desktop is secondary."
